Date,Order,neg_market,pos_market,neu_market,Topic_probability_market,Topic-wise_Values_market,tsf_lr_neg_market,tsf_lr_neu_market,tsf_lr_pos_market,neg_energy,pos_energy,neu_energy,Topic_probability_energy,Topic-wise_Values_energy,tsf_lr_neg_energy,tsf_lr_neu_energy,tsf_lr_pos_energy,neg_semiconductor,pos_semiconductor,neu_semiconductor,Topic_probability_semiconductor,Topic-wise_Values_semiconductor,tsf_lr_neg_semiconductor,tsf_lr_neu_semiconductor,tsf_lr_pos_semiconductor,neg_technology,pos_technology,neu_technology,Topic_probability_technology,Topic-wise_Values_technology,tsf_lr_neg_technology,tsf_lr_neu_technology,tsf_lr_pos_technology
1/3/2019 0:00,659.52,0.038197357,0.17758864,0.15652989,0.529155552,0.273187064,0.000292919,8.77E-05,0.002575008,0.008577575,0.5165576,0.19726205,0.720868409,0.266704887,5.74E-05,0.000244986,0.686394399,0.007430733,0.82945132,0.160132245,0.591300309,0.313083272,3.01E-05,3.82E-05,0.999861222,0.09242764,0.103721534,0.803850765,0.763214409,0.194423348,7.77E-05,0.999891001,3.13E-05
1/4/2019 0:00,621.71,0.007707095,0.8835744,0.10871841,0.540783048,0.306866413,3.78E-05,6.07E-06,0.999950642,0.009057941,0.36519456,0.16672826,0.772773981,0.260389857,6.15E-05,3.14E-05,0.028146673,0.085016615,0.11680264,0.34186105,0.661040872,0.31483276,5.69E-05,0.068199506,0.000208099,0.056064608,0.043765839,0.605113435,0.633675814,0.229982357,8.23E-05,0.695538309,0.000346922
1/5/2019 0:00,601.41,0.006368805,0.85782725,0.13335776,0.55702126,0.284804363,7.63E-05,2.95E-05,0.99989425,0.021895573,0.152725685,0.18986897,0.618632734,0.277126176,8.22E-05,9.56E-05,0.001017234,0.090139168,0.14027508,0.636600775,0.511401296,0.237801753,0.000136191,0.924159762,0.000545495,0.005975257,0.44501328,0.1395025,0.728741705,0.217242548,7.08E-05,3.70E-05,0.278762438
1/6/2019 0:00,546.43,0.006350045,0.748522,0.17314613,0.907911956,0.23803101,3.78E-05,0.00013195,0.999358103,0.009473132,0.72758085,0.19062166,0.640078545,0.239600805,5.66E-05,0.000127452,0.998955588,0.007161558,0.82881314,0.11046248,0.632803559,0.32952458,3.28E-05,1.16E-05,0.99987594,0.027191451,0.489004863,0.483803785,0.711986899,0.255162963,4.00E-05,0.499992012,0.499968033
1/7/2019 0:00,600.14,0.009782325,0.81595175,0.106242385,0.572055846,0.300366158,5.76E-05,6.52E-06,0.999666388,0.007167005,0.817985815,0.12957598,0.646238744,0.290415259,2.40E-05,1.16E-05,0.99985004,0.006125788,0.14684544,0.7075092,0.640773237,0.291471443,2.43E-05,0.991711045,0.000168445,0.453231518,0.481373012,0.065395426,0.937019765,0.283792319,0.499947819,4.40E-06,0.500047783
1/8/2019 0:00,542.32,0.011292679,0.3002483,0.31187323,0.748741627,0.222670694,8.27E-05,0.003675515,0.001535708,0.008752848,0.62418467,0.16906472,0.681145728,0.252924538,6.04E-05,3.37E-05,0.980428478,0.010312442,0.56157327,0.1569556,0.598200321,0.318420538,6.88E-05,2.49E-05,0.889105193,0.497741275,0.010437529,0.491821145,0.903601706,0.242831384,0.499931552,0.499995851,7.26E-05
1/9/2019 0:00,597.72,0.017614239,0.159229955,0.403651255,0.581700116,0.301728953,4.11E-05,0.473190328,0.000464176,0.010798069,0.172609355,0.18467015,0.650177419,0.27252912,5.29E-05,8.14E-05,0.010044271,0.009558461,0.8101867,0.16031557,0.691807747,0.344139285,3.92E-05,3.36E-05,0.999824527,0.006096223,0.029694151,0.96420956,0.835381031,0.320521022,1.30E-06,0.999998365,3.35E-07
1/10/2019 0:00,664.13,0.007947904,0.564113485,0.120633505,0.698724538,0.331261077,0.000113393,1.06E-05,0.556201525,0.01161653,0.104949676,0.234888365,0.684314877,0.292554323,4.03E-05,0.000386352,0.000196386,0.025939373,0.131549515,0.163510475,0.700676829,0.327358882,3.35E-05,7.24E-05,0.000220982,0.00456802,0.62158723,0.3742889,0.814639837,0.257063064,2.55E-05,0.498290612,0.501554648
1/11/2019 0:00,550.54,0.007659852,0.088802415,0.70222773,0.78751415,0.31548018,4.25E-05,0.998684237,0.000157528,0.006439838,0.5546381,0.22930664,0.735761762,0.259119601,3.44E-05,0.000686255,0.852699544,0.10109157,0.027115285,0.76774424,0.566027582,0.328018329,2.46E-05,0.999712974,4.82E-05,0.003595047,0.9663359,0.03006916,0.814468384,0.32995484,1.84E-05,4.04E-07,0.999981244
1/12/2019 0:00,534.73,0.00495601,0.20001689,0.391536025,0.589694738,0.280605075,3.68E-05,0.38558823,0.001381513,0.00999762,0.21348035,0.3193709,0.680454254,0.272763264,3.65E-05,0.008260668,0.000599358,0.008727375,0.14697714,0.58161867,0.690885544,0.306153994,5.32E-05,0.943897951,0.000164149,0.0382774,0.5814926,0.1997155,0.787992418,0.182442647,0.003706916,9.80E-05,0.958064512
1/1/2020 0:00,581.93,0.005462406,0.5044465,0.147375035,0.582192242,0.341278013,2.36E-05,3.92E-05,0.500896228,0.010530949,0.556751075,0.212195055,0.737364084,0.274761774,6.56E-05,0.000149227,0.858720863,0.007273365,0.77093655,0.21722503,0.801228106,0.299053584,2.47E-05,0.000181607,0.999615132,0.011818181,0.156126649,0.63275572,0.903560132,0.229854163,5.45E-05,0.899073408,0.001385565
1/2/2020 0:00,455.72,0.123939485,0.07474388,0.197221205,0.576155365,0.290617702,8.05E-05,0.001183824,0.000168289,0.011374349,0.278424025,0.228139695,0.7541596,0.250895674,5.19E-05,0.000237678,0.002945642,0.102242163,0.151753035,0.091082438,0.659236014,0.347184896,0.000370962,7.06E-06,0.000200434,0.003355172,0.54419506,0.45338378,0.748355597,0.324888385,9.85E-06,0.499995359,0.499993611
1/3/2020 0:00,499.88,0.012999318,0.69887412,0.13210846,0.700311363,0.297261378,4.32E-05,1.44E-05,0.938571802,0.010551573,0.187129685,0.22492838,0.645827532,0.268287755,3.40E-05,0.00071737,0.002244514,0.043046739,0.116664455,0.255277245,0.645835519,0.31122563,6.73E-05,0.001813766,0.000951871,0.006864261,0.492910435,0.500225315,0.878046185,0.206014489,7.14E-05,0.499998719,0.499929887
1/4/2020 0:00,653.61,0.00807008,0.34091133,0.13124532,0.622074783,0.318838187,4.70E-05,1.81E-05,0.005194237,0.02631537,0.11502207,0.16603808,0.744839668,0.258577522,0.000107691,4.19E-05,0.001099933,0.092644866,0.035430051,0.319704625,0.679432213,0.316244217,0.000324582,0.009950638,0.000202595,0.006864261,0.492910435,0.500225315,0.878046185,0.206014489,7.14E-05,0.499998719,0.499929887
1/5/2020 0:00,554.73,0.076006917,0.043939868,0.689331725,0.583386332,0.276287222,8.54E-05,0.997949786,0.000225789,0.011989148,0.410742325,0.18119378,0.716326237,0.255634716,6.08E-05,8.40E-05,0.057425205,0.010606953,0.39374447,0.16390054,0.691412687,0.323343019,0.000121632,3.15E-05,0.027877046,0.00667311,0.6364238,0.10249128,0.737833202,0.263033265,3.47E-05,1.28E-05,0.985296957
1/6/2020 0:00,612.98,0.057180263,0.04487218,0.21768995,0.749246061,0.233176593,0.001207995,0.000647464,0.001918115,0.008895074,0.43482035,0.17197223,0.690242112,0.269601652,4.56E-05,4.08E-05,0.174013991,0.006674602,0.1929395,0.13171285,0.707902431,0.346479148,3.49E-05,3.84E-05,0.000972232,0.003535592,0.96788746,0.028576978,0.814743578,0.329229939,1.80E-05,3.87E-07,0.999981659
1/7/2020 0:00,616.44,0.010539373,0.19132729,0.564239815,0.645168781,0.23262986,0.00010967,0.801974777,0.003164229,0.010406708,0.433463245,0.283154415,0.655235201,0.26904243,3.57E-05,0.002806388,0.108572787,0.009826938,0.74756093,0.19241742,0.609294564,0.293803516,8.74E-05,8.91E-05,0.999205504,0.023111466,0.6418329,0.33505565,0.794179142,0.108217685,0.00150446,0.008005115,0.990490425
1/8/2020 0:00,629.40,0.04298041,0.061576534,0.40846092,0.686572433,0.296431698,4.31E-05,0.080401603,0.000230036,0.007408035,0.8262264,0.14773117,0.683535576,0.288144272,2.83E-05,1.78E-05,0.999872165,0.06967453,0.06970923,0.74002784,0.707675397,0.275769735,4.19E-05,0.999538564,4.90E-05,0.010383312,0.18657508,0.77998495,0.804678798,0.166489022,5.34E-05,0.9998621,8.45E-05
1/9/2020 0:00,624.13,0.014973318,0.24377189,0.46618351,0.585872799,0.247087377,0.000114242,0.471040711,0.002005385,0.048093494,0.10562094,0.23562631,0.720358729,0.259064994,6.69E-05,0.000370223,0.002161294,0.006928472,0.7816053,0.09502595,0.77192682,0.346353306,2.22E-05,9.00E-06,0.999691892,0.8631332,0.014639605,0.12222726,0.739143491,0.25154712,0.999779039,2.46E-05,0.000196406
1/10/2020 0:00,567.18,0.008110566,0.7401682,0.13856076,0.582411528,0.322579998,1.85E-05,1.51E-05,0.999233765,0.012118592,0.69462673,0.13951792,0.686232269,0.273893402,4.99E-05,2.50E-05,0.995482991,0.061713263,0.1524727,0.5154889,0.591144979,0.243472971,0.000144878,0.709347104,0.000903346,0.003578388,0.12360161,0.85806435,0.780766189,0.316038001,9.99E-06,0.999981923,8.09E-06
1/11/2020 0:00,504.49,0.023619781,0.111991653,0.133416333,0.632810831,0.316987115,6.25E-05,1.55E-05,0.000838036,0.009120575,0.160980035,0.15657195,0.684937865,0.287429175,0.000104606,6.70E-05,0.001745305,0.17541807,0.182136518,0.121271,0.632499874,0.318514016,0.005186154,1.79E-05,0.001755661,0.007384004,0.89052117,0.102094784,0.925265908,0.255087909,6.96E-05,1.19E-05,0.99991844
1/12/2020 0:00,527.21,0.019402575,0.09996589,0.28082176,0.644585371,0.275355979,8.89E-05,0.005043644,0.000823671,0.02222223,0.107615724,0.13319616,0.665674865,0.279958895,7.09E-05,1.90E-05,0.00016627,0.017603669,0.066885537,0.184849065,0.649807841,0.327981175,6.61E-05,0.00019322,0.000370883,0.042354014,0.031898353,0.18572783,0.711932003,0.288529651,0.000163847,6.27E-05,0.000102724
1/1/2021 0:00,539.87,0.065560075,0.032143874,0.18517733,0.717370689,0.304799172,9.94E-05,0.000236126,0.000259779,0.039537605,0.0617715,0.30428714,0.650303066,0.22299443,0.000107779,0.005522715,0.000345562,0.00792199,0.53988135,0.18368876,0.693079591,0.335564031,2.62E-05,0.00013535,0.802058887,0.723998565,0.010600386,0.266003455,0.879037976,0.237262581,0.994792316,0.004571145,0.00011761
1/2/2021 0:00,558.52,0.015255525,0.149325722,0.30679904,0.589900583,0.285026497,3.95E-05,0.06394683,0.002588454,0.012992824,0.20718262,0.32694477,0.71687454,0.237158486,0.000107025,0.006960786,0.001185297,0.011445342,0.22365569,0.18072262,0.6461972,0.326469944,5.36E-05,5.47E-05,0.00991049,0.010547233,0.72600055,0.26345226,0.858510017,0.147838014,0.000463178,0.000718291,0.998818531
1/3/2021 0:00,556.26,0.009819117,0.42622286,0.55861044,0.602447152,0.215334057,0.00023933,0.905619861,0.09270594,0.010898797,0.132876033,0.5318614,0.649214983,0.263054317,3.66E-05,0.777122242,0.000343895,0.007394808,0.86777395,0.11216653,0.620355129,0.336949222,2.89E-05,6.47E-06,0.999934355,0.003434843,0.97074664,0.025818588,0.86476481,0.330394487,1.75E-05,3.50E-07,0.999982137
1/4/2021 0:00,595.73,0.012590957,0.62318474,0.2854731,0.576489568,0.251541745,6.51E-05,0.001872828,0.980156411,0.013924717,0.126914975,0.255728805,0.703615814,0.254785723,7.95E-05,0.000897441,0.000446543,0.022370606,0.078296902,0.48488635,0.716410935,0.317963829,7.66E-05,0.548133826,0.000231045,0.013150355,0.7374424,0.2400185,0.653738558,0.166994093,0.000409038,0.000350054,0.999122422
1/5/2021 0:00,664.86,0.009175675,0.06433858,0.64348096,0.559171438,0.271925375,6.12E-05,0.993235766,0.000185805,0.009824878,0.275768205,0.210789345,0.681329876,0.270401793,4.71E-05,0.000137533,0.006148438,0.039309111,0.137673395,0.7454079,0.587721229,0.300107821,4.49E-05,0.999534104,0.000184565,0.005186097,0.897655015,0.084659185,0.77093032,0.30419296,2.95E-05,3.26E-06,0.99995175
1/6/2021 0:00,589.77,0.011128507,0.16968725,0.46535619,0.604877919,0.31056474,2.86E-05,0.495847345,0.00047086,0.012330919,0.160366475,0.41141319,0.665730804,0.262380694,3.08E-05,0.109099942,0.002302086,0.010076509,0.07839296,0.16063496,0.672154605,0.35295653,1.40E-05,9.67E-05,0.000113332,0.009141598,0.07526958,0.11217493,0.525525689,0.295282598,2.87E-05,1.16E-05,0.000147559
1/7/2021 0:00,785.95,0.006229265,0.52284294,0.16267875,0.580653787,0.303150541,4.51E-05,3.29E-05,0.638789166,0.010599061,0.221098795,0.20451945,0.702209204,0.253789155,4.63E-05,0.000110015,0.004194164,0.008597008,0.27850696,0.37721744,0.632962346,0.334451289,3.74E-05,0.042534331,0.001621706,0.008050082,0.84022814,0.14980087,0.650262177,0.238756614,5.97E-05,1.92E-05,0.999876426
1/8/2021 0:00,629.90,0.012955749,0.24484572,0.22796625,0.703073859,0.243466832,0.000170045,0.000255689,0.009593078,0.00862354,0.22875163,0.29781109,0.652022541,0.272247373,3.32E-05,0.002994134,0.000813383,0.008402022,0.29268092,0.40980548,0.63008213,0.287033894,7.32E-05,0.086686898,0.003001137,0.014249711,0.178334395,0.50773325,0.645817399,0.192283183,9.99E-05,0.500865535,0.000454339
1/9/2021 0:00,636.45,0.00795483,0.775575925,0.12074484,0.638303936,0.306800303,4.48E-05,2.71E-05,0.999648325,0.009231943,0.3313327,0.2016083,0.725230217,0.269310035,3.13E-05,0.000175603,0.004383221,0.011470098,0.35980976,0.25318007,0.580186307,0.259539562,0.00012624,0.000559988,0.138579642,0.009634077,0.84680396,0.14356193,0.738352835,0.223884498,9.33E-05,1.60E-05,0.9998907
1/10/2021 0:00,687.08,0.00590937,0.83873886,0.07315327,0.613362849,0.332071425,2.40E-05,6.39E-06,0.999899847,0.007334915,0.3307144,0.19362573,0.679400355,0.273369225,3.57E-05,7.91E-05,0.010755936,0.006991894,0.375051015,0.25905501,0.628624886,0.340228168,2.69E-05,0.001490325,0.022908888,0.031758303,0.28639842,0.48928902,0.853113741,0.139029724,0.00185049,0.621867201,0.069610843
1/11/2021 0:00,637.38,0.009695665,0.7825421,0.15540674,0.687834203,0.285160626,7.45E-05,3.58E-05,0.999708825,0.008868432,0.62573835,0.171249245,0.678811938,0.257910283,6.44E-05,4.04E-05,0.969437083,0.009480988,0.320655525,0.12224037,0.627895564,0.331287259,3.78E-05,2.06E-05,0.003696045,0.01075957,0.430198722,0.527159395,0.665233165,0.269675338,1.92E-05,0.500021911,0.49989023
1/12/2021 0:00,674.23,0.007168698,0.24182011,0.7564087,0.656275272,0.302922154,1.92E-05,0.999754862,0.000209177,0.010197782,0.57966575,0.219383965,0.661656439,0.2378671,4.88E-05,0.000468646,0.918751794,0.009785445,0.21098077,0.14538585,0.758991122,0.349283911,2.15E-05,2.20E-05,0.000199672,0.008939198,0.47130255,0.51414455,0.759024352,0.291089852,1.75E-05,0.50025897,0.499476166
1/1/2022 0:00,649.00,0.012492596,0.165934565,0.242419885,0.613583535,0.293900321,4.41E-05,0.000841287,0.000237564,0.010002645,0.7137605,0.18298546,0.716578513,0.251670111,3.97E-05,9.29E-05,0.998629572,0.014979022,0.3171917,0.2388674,0.648228407,0.294195449,0.000240668,0.000390017,0.00314301,0.008972332,0.858537,0.13249059,0.885190368,0.24028384,2.73E-05,1.12E-05,0.9999133
1/2/2022 0:00,663.87,0.010809335,0.27265778,0.17465542,0.731761515,0.293585479,7.66E-05,6.73E-05,0.001209807,0.010060902,0.2342557,0.30275809,0.711417437,0.2600299,4.48E-05,0.003649293,0.002245979,0.010883911,0.508555115,0.198943495,0.628134549,0.299396307,0.000102498,0.000105353,0.528659178,0.006279661,0.77222973,0.21400352,0.716596067,0.251121484,2.13E-05,0.000151594,0.99961589
1/3/2022 0:00,795.02,0.006175759,0.375974045,0.32300785,0.616469264,0.299604193,5.48E-05,0.007878411,0.039739538,0.008653374,0.17742188,0.29052517,0.70636034,0.272720465,3.19E-05,0.003466666,0.000956568,0.017573422,0.1349132,0.2018163,0.739024073,0.330000062,3.52E-05,0.00060465,0.00021084,0.001856728,0.031089906,0.96136945,0.720287204,0.342450079,1.17E-06,0.999998462,3.69E-07
1/4/2022 0:00,650.28,0.006347607,0.6947666,0.29441088,0.564369112,0.320007865,2.93E-05,0.002205045,0.997278674,0.008548833,0.7145296,0.14578249,0.668305695,0.283230714,3.58E-05,2.39E-05,0.998513076,0.008774254,0.27845477,0.569395865,0.623033702,0.323301539,3.00E-05,0.805559124,0.004641988,0.007606507,0.09230728,0.10697192,0.809866905,0.259928044,5.35E-05,9.71E-06,0.000341755
1/5/2022 0:00,667.06,0.007673074,0.128265655,0.139187335,0.609086841,0.312417933,3.38E-05,3.73E-05,0.000363778,0.008275953,0.54045564,0.19997445,0.706499696,0.268232765,3.57E-05,0.000147964,0.800771566,0.010705647,0.227385695,0.429318755,0.76596567,0.337302699,2.52E-05,0.210645675,0.005202994,0.099762976,0.23374915,0.53527516,0.90920645,0.173406145,0.000319999,0.949662532,0.001643521
1/6/2022 0:00,817.35,0.008944378,0.8565149,0.13434315,0.639675677,0.311556627,2.80E-05,1.32E-05,0.999924352,0.010052139,0.61188084,0.18490304,0.720963299,0.265221555,4.21E-05,0.000144491,0.973328233,0.007278673,0.8884776,0.10410447,0.646231949,0.346610235,2.49E-05,4.95E-06,0.999952673,0.008780509,0.14451796,0.5410694,0.86251533,0.204668429,4.81E-05,0.823164185,0.000424107
1/7/2022 0:00,783.67,0.010439137,0.4802995,0.3228948,0.629228294,0.274859086,9.06E-05,0.005660553,0.424227674,0.010506852,0.48046593,0.17408896,0.673121661,0.263341231,3.91E-05,4.41E-05,0.499190479,0.008083466,0.6831586,0.124846555,0.745838821,0.322464026,4.95E-05,1.73E-05,0.996773046,0.007911341,0.879145885,0.112921625,0.593243778,0.268123432,5.33E-05,6.02E-06,0.999936135
1/8/2022 0:00,688.72,0.007754823,0.6127389,0.2352954,0.630470634,0.256965728,4.77E-05,0.000322659,0.970891264,0.008666014,0.39921946,0.22477871,0.735317469,0.261984434,3.36E-05,0.000384188,0.06719295,0.008862061,0.18209042,0.22775947,0.701323569,0.345192592,2.67E-05,0.000252515,0.001965601,0.006569728,0.90522209,0.066950268,0.554863334,0.289583677,4.08E-05,2.43E-06,0.999956466
1/9/2022 0:00,814.57,0.008587114,0.55466384,0.12113139,0.641593248,0.314364871,5.11E-05,1.42E-05,0.797860753,0.012268403,0.14449401,0.30010915,0.695492506,0.254497319,5.06E-05,0.002420085,0.001632457,0.007405409,0.81785868,0.1624249,0.691156447,0.332750522,3.75E-05,3.18E-05,0.999849188,0.009855531,0.81710804,0.13681199,0.728298008,0.241117614,9.66E-05,1.67E-05,0.999824544
1/10/2022 0:00,853.16,0.009113729,0.41000736,0.1602896,0.562545031,0.297036084,4.64E-05,5.78E-05,0.051566986,0.008320075,0.40903166,0.21412642,0.743054926,0.254827976,3.16E-05,0.00015205,0.059988569,0.008360673,0.7555146,0.18190181,0.774947822,0.332803189,2.87E-05,7.48E-05,0.999444041,0.004822002,0.531611225,0.462333782,0.802232653,0.296658195,1.71E-05,0.499992914,0.499989207
1/11/2022 0:00,768.99,0.011439978,0.7382713,0.1370477,0.78912276,0.304525189,0.000106305,3.15E-05,0.999134356,0.009083153,0.65714073,0.23091368,0.690122485,0.245408574,4.87E-05,0.000263878,0.99267659,0.012374032,0.2959242,0.226680885,0.781033188,0.342033677,3.49E-05,0.000477912,0.019677615,0.011673642,0.809267775,0.169071215,0.810364902,0.214897389,0.000147046,5.07E-05,0.999802222
1/12/2022 0:00,737.45,0.009785828,0.612662325,0.21237448,0.645643115,0.302167347,4.33E-05,0.000212293,0.912180354,0.0093378,0.28898126,0.175271415,0.714458823,0.267536455,4.86E-05,6.67E-05,0.002830538,0.010424677,0.1298121,0.2459298,0.733864486,0.323460513,2.68E-05,0.00109595,0.000450091,0.048084218,0.021985946,0.2139427,0.748983741,0.250253178,0.000238145,0.000145804,0.0004757
1/1/2023 0:00,744.19,0.008667233,0.5507818,0.167671425,0.735928118,0.29406932,3.84E-05,8.53E-05,0.556203934,0.008529244,0.6709643,0.158410005,0.701234549,0.266213227,4.15E-05,2.97E-05,0.994978745,0.011396097,0.42233595,0.103005597,0.627567023,0.331037816,4.34E-05,7.51E-06,0.129849665,0.00773609,0.82117665,0.16812643,0.495931268,0.196041599,5.26E-05,3.43E-05,0.999832636
1/2/2023 0:00,645.73,0.01000777,0.35929537,0.15818425,0.741864741,0.305818555,2.90E-05,6.89E-05,0.024001025,0.007161542,0.74610689,0.162082755,0.71022889,0.290419043,2.68E-05,3.56E-05,0.999226736,0.008633063,0.38737047,0.212534645,0.686229348,0.323323954,4.47E-05,0.00016189,0.030962559,0.007083699,0.67662295,0.12512415,0.749271333,0.258338137,4.78E-05,1.36E-05,0.816924547
1/3/2023 0:00,749.46,0.006709394,0.24097263,0.32812422,0.671842515,0.304037984,2.54E-05,0.006698706,0.000843682,0.008609155,0.60451573,0.21787767,0.711876035,0.267588246,3.06E-05,0.000187286,0.967996372,0.007789183,0.63958743,0.272349515,0.690025687,0.337030538,3.29E-05,0.0046361,0.985981262,0.007152555,0.6619386,0.21164851,0.747762859,0.267433819,4.56E-05,0.000144195,0.993739983
1/4/2023 0:00,638.83,0.011501851,0.23057869,0.17222276,0.715520769,0.305002062,4.80E-05,0.000106449,0.00697532,0.008355994,0.38662738,0.22063607,0.70349431,0.270439487,3.21E-05,0.00033849,0.070707261,0.008355735,0.8189571,0.13036467,0.779312253,0.333026723,3.94E-05,1.28E-05,0.999851582,0.006480167,0.8002247,0.16567953,0.747242868,0.287931929,0.000101824,3.33E-05,0.999766013
1/5/2023 0:00,675.08,0.009386519,0.26495616,0.40329826,0.747597396,0.293587387,3.35E-05,0.100728946,0.002655289,0.009638796,0.448417365,0.2176862,0.711452127,0.255031244,4.18E-05,0.000202762,0.166956154,0.007744254,0.40852025,0.17914224,0.773653209,0.336195441,3.40E-05,9.45E-05,0.054531168,0.009210275,0.16958287,0.37584302,0.781694412,0.267373169,2.87E-05,0.027469399,0.001396819
1/6/2023 0:00,660.31,0.00762084,0.3842011,0.18316951,0.734022141,0.308972441,3.22E-05,0.00013255,0.019728868,0.00985132,0.406485225,0.18513573,0.697901487,0.263380117,4.79E-05,7.48E-05,0.048927508,0.008152734,0.41611129,0.200807785,0.741740763,0.344471456,2.57E-05,0.000135762,0.057585722,0.032499755,0.062520237,0.423611775,0.758559674,0.249964721,0.00013175,0.145141698,0.000158211
1/7/2023 0:00,693.18,0.008277156,0.45192085,0.25486971,0.734865785,0.305501942,4.67E-05,0.000650527,0.311332206,0.009788428,0.298572,0.20062093,0.692237318,0.27360923,3.66E-05,0.000110442,0.006458624,0.009074246,0.5620035,0.14757325,0.747220665,0.332480219,4.30E-05,3.11E-05,0.868918174,0.008802913,0.22549673,0.188145655,0.724822998,0.280045609,4.79E-05,0.0001761,0.001918928
1/8/2023 0:00,619.32,0.006486368,0.79133713,0.13502736,0.779171586,0.330395864,2.44E-05,2.64E-05,0.999753401,0.009108752,0.498738705,0.188579155,0.707895756,0.268749266,3.93E-05,8.59E-05,0.561162868,0.007238478,0.68550974,0.18785097,0.755074501,0.347952236,2.36E-05,0.000110488,0.996553784,0.009578822,0.54989624,0.1630633,0.79557839,0.25615869,4.86E-05,5.39E-05,0.828736592
1/9/2023 0:00,630.71,0.008650783,0.25051394,0.2248426,0.793179512,0.309252197,3.03E-05,0.000700054,0.002984454,0.008255819,0.59573135,0.175754975,0.699748963,0.266082342,4.20E-05,4.56E-05,0.961530639,0.007935641,0.67962985,0.179226,0.743583471,0.327936092,3.65E-05,6.56E-05,0.996442794,0.009800072,0.56564717,0.161335005,0.74178791,0.240800227,4.30E-05,4.79E-05,0.559375526
1/10/2023 0:00,638.61,0.007403632,0.3710592,0.31740153,0.816552281,0.307542741,2.53E-05,0.006751924,0.01832457,0.007718611,0.27293444,0.3540446,0.67856282,0.255075152,3.25E-05,0.013339938,0.00541577,0.006831603,0.268748775,0.32453543,0.773465097,0.333285985,3.27E-05,0.010606578,0.003756167,0.006543561,0.595587035,0.397844615,0.772683412,0.230517269,3.94E-05,0.046009306,0.951884995
1/11/2023 0:00,630.30,0.007510983,0.71367202,0.188885655,0.835371763,0.314335909,2.74E-05,9.91E-05,0.998455243,0.008055527,0.62408674,0.20884176,0.701575339,0.263333268,3.62E-05,0.000150691,0.983574653,0.007130444,0.7889411,0.16614726,0.777082503,0.340834159,2.98E-05,3.89E-05,0.999733823,0.008658556,0.533524525,0.23699015,0.779114038,0.256688672,3.90E-05,0.00057586,0.736918793
1/12/2023 0:00,604.94,0.008988547,0.45414646,0.234228115,0.730210304,0.309691962,2.77E-05,0.000518154,0.224845442,0.008128359,0.53845722,0.220364315,0.708806306,0.268295209,3.06E-05,0.000212417,0.792499794,0.008193367,0.53502545,0.2151276,0.69904846,0.327645811,3.51E-05,0.00017875,0.76976317,0.009089816,0.8531684,0.13745871,0.511200666,0.273225536,2.57E-05,1.25E-05,0.999908238
1/1/2024 0:00,640.23,0.008176478,0.5377979,0.21019942,0.75447011,0.307071464,2.90E-05,0.000298059,0.805761699,0.007994061,0.625619335,0.204018635,0.726376981,0.267840077,3.35E-05,0.000134586,0.982151949,0.008017731,0.731115785,0.18336464,0.702123672,0.334196757,3.39E-05,6.43E-05,0.999028738,0.011660084,0.80818594,0.180154,0.488556057,0.242256522,5.58E-05,5.14E-05,0.999806968
1/2/2024 0:00,637.85,0.007274946,0.77867395,0.16464971,0.725730598,0.316465639,2.35E-05,4.03E-05,0.999671771,0.008469175,0.61415094,0.2151871,0.734103203,0.263573825,3.50E-05,0.000196775,0.974887914,0.007845435,0.76152082,0.17237593,0.717694044,0.336998776,3.28E-05,4.91E-05,0.999522445,0.011777003,0.48059258,0.31291893,0.472349524,0.209141542,0.000806141,0.003456751,0.34232518
1/3/2024 0:00,646.88,0.009267761,0.7049621,0.18351643,0.730453491,0.302411694,3.19E-05,8.89E-05,0.998141435,0.007875712,0.730505,0.18563554,0.701499701,0.269160393,3.26E-05,7.10E-05,0.999058346,0.00818429,0.78256057,0.17109516,0.730900198,0.326239997,3.65E-05,5.59E-05,0.999694978,0.008529992,0.8378485,0.15119952,0.509817719,0.248988772,4.99E-05,2.15E-05,0.999881487
1/4/2024 0:00,631.40,0.007371094,0.753415675,0.20069545,0.685597897,0.300574951,2.58E-05,0.000108713,0.999428711,0.00733361,0.6872748,0.192780605,0.716160297,0.271115202,2.94E-05,9.02E-05,0.996836433,0.007627666,0.5482206,0.19629877,0.736660838,0.337100512,3.12E-05,9.51E-05,0.806947438,0.005127033,0.6404939,0.35006267,0.480243802,0.221663896,2.66E-05,0.010713655,0.988014904
1/5/2024 0:00,638.38,0.006412083,0.60223633,0.26421535,0.807996571,0.309807266,2.72E-05,0.000994064,0.9534925,0.006416066,0.64096258,0.241106925,0.714242071,0.265002033,2.92E-05,0.000390094,0.987960004,0.006999737,0.6588732,0.26319,0.780980647,0.330712135,3.75E-05,0.001122459,0.992280701,0.008099635,0.165872965,0.49934856,0.49847354,0.259009376,2.99E-05,0.55000212,0.002006942
1/6/2024 0:00,633.32,0.011194615,0.44764729,0.46296027,0.869211107,0.274574358,5.10E-05,0.355857733,0.177590694,0.011097909,0.50545424,0.429731,0.733558893,0.212279376,7.22E-05,0.131253704,0.568319207,0.01065719,0.38876629,0.550341215,0.788706124,0.316769234,4.76E-05,0.871831774,0.026241803,0.014115263,0.34061584,0.63935393,0.570445657,0.184171912,0.000236547,0.990836407,0.00854725
